id;numero_facture;date_facture;montant_total;statut;date_echeance
1;best-of-breed robust;2025-03-19T02:22:16;6084;SQL Health;2025-03-19T07:34:51
2;auxiliary Cambridgeshire SQL;2025-03-19T01:32:46;36551;Cotton instruction set wireless;2025-03-18T12:14:28
3;quantifying Shoes;2025-03-18T16:20:53;77177;Checking Account Creative payment;2025-03-19T09:41:59
4;Analyst bypass Poland;2025-03-19T07:52:40;30488;Licensed;2025-03-18T12:55:26
5;Metal asymmetric Home Loan Account;2025-03-18T12:31:33;3461;Drive;2025-03-18T19:35:10
6;deposit Riel;2025-03-19T09:51:55;2477;Berkshire Checking Account;2025-03-18T22:50:28
7;invoice;2025-03-19T07:05:07;71526;Tasty Chair;2025-03-18T16:30:35
8;SSL black;2025-03-19T03:18:30;44893;Romania Avon Group;2025-03-18T12:03:54
9;Overpass Arkansas;2025-03-18T15:14:21;51102;Regional Legacy payment;2025-03-19T07:07:29
10;Swedish Krona Producer withdrawal;2025-03-18T16:37:47;53168;ability FTP;2025-03-18T11:26:31
