id;nom;description;options
1;1080p product Inlet;applications Jamaica solutions;GB
2;synergize;transition;Jewelery
3;Tools Frozen;circuit Applications;SCSI Ergonomic Soft Chair
4;ADP;Czech Republic;Planner Movies Future
5;motivating mission-critical Buckinghamshire;Run Movies;Wooden transmit Tasty
6;Technician sky blue Eritrea;Research incentivize Indiana;e-commerce
7;payment Arkansas;Morocco quantifying;Data framework
8;Belarussian Ruble;Soft;Generic value-added
9;orchestrate;Incredible disintermediate Fantastic Rubber Bike;deposit
10;eyeballs;plum;solution-oriented quantify
