id;nom;description;prix;stock;categorie;image_url;details
1;conglomeration Marketing solutions;Health Future Grocery;76924;25541;Cambridgeshire Accountability XSS;logistical Avon;Division
2;Trafficway auxiliary Myanmar;Unions GB Soap;22622;23283;morph;Shores Money Market Account;Soap deposit
3;override web-readiness 1080p;Handmade Steel Table Sleek Fresh Cheese;98969;86777;Computer Land;emulation;Borders non-volatile Buckinghamshire
4;hack SMTP;array Beauty;75755;18100;Chair;bypass;Field
5;Corporate Implementation;24/365 metrics;61022;23524;Shirt Bedfordshire;synergies;indexing Netherlands Antillian Guilder FTP
6;Avon;Keyboard platforms Liaison;3106;6710;Intelligent;Steel instruction set;compress
7;Polarised;synergistic;75194;56143;Handcrafted;Borders Bedfordshire invoice;National Computers
8;Cheese;navigating niches;47947;97003;Cambridgeshire Auto Loan Account;enterprise feed;calculate
9;Nicaragua Keyboard national;Persevering;85180;4025;Soft mint green;Security XML Granite;Ergonomic back-end
10;initiative;Nevada deposit;71767;20440;Gambia impactful;Granite;Checking Account Uganda Shilling
