id;nom;date_debut;date_fin;remise
1;seize TCP;2025-03-19T00:00:41;2025-03-18T12:31:40;88921
2;ADP leverage Games;2025-03-18T14:24:00;2025-03-18T19:56:19;58995
3;Mission;2025-03-18T15:58:38;2025-03-19T07:34:29;81460
4;Texas needs-based New Caledonia;2025-03-19T00:54:39;2025-03-19T07:56:55;96211
5;Home;2025-03-18T21:35:54;2025-03-19T07:05:25;14135
6;strategic process improvement Cambridgeshire;2025-03-18T13:42:13;2025-03-19T06:14:12;31763
7;back up Steel;2025-03-18T16:00:59;2025-03-18T12:03:16;4067
8;Washington Accountability Credit Card Account;2025-03-19T03:51:00;2025-03-18T11:20:43;39649
9;Oregon system engine;2025-03-19T03:15:26;2025-03-18T23:11:40;66693
10;Iraq optimize;2025-03-18T13:47:02;2025-03-19T08:00:30;65149
